study,group,tissue,cellType,gene1,gene2,is_marker
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),CYP27A1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),ENO1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),FCGR3A,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),GCA,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),GNG5,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),HPGD,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),LMNA,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),LRPAP1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),LRRFIP1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),OST4,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),PPARG,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),RHOB,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),RNF149,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),RTN4,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),S100A9,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),SERP1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),SLC11A1,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),TAGLN2,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),TFRC,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),TMA7,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),TMEM59,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),TPM3,1,no
HCA.human_disease.PulmonaryFibrosisGSE135893,disease,Lung,Kuppfer Cells(Macrophage),UBE2D3,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,AREG,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,ATP1B3,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,BRK1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,CALM2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,CXCL2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,EEF1B2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,FGFBP1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,GAS5,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,GLUL,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,HES1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,HOPX,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,IL1R2,182,yes
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,IL1RN,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,LMNA,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,MCL1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,MIR205HG,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,NCL,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,PTMA,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,RHOA,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,RPL22,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,RPL37A,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,S100A14,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,S100A2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,S100A8,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,SDC1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,SERBP1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,SERP1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,SFN,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,TACSTD2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,TKT,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,VAMP8,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Cholangiocyte,YBX1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,ARPC5,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,ATP6V0B,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,AURKAIP1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,CALM2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,CAP1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,CCT3,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,CLCA2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,CLCA4,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,CMPK1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,CRABP2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,ELF3,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,ENSA,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,FDPS,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,GAS5,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,GUK1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,HSPA6,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,JUN,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,LAD1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,LAMTOR5,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,LMNA,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,MCL1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,MGST3,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,MRPL20,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,MTATP6P1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,PCBP1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,PDIA6,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,PFDN2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,PKP1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,PRDX6,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,PSMA5,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,PSMB2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,RAB1A,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,RER1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,RPL11,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,RPL22,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,RPL5,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,RPS27A,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,RPS7,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,RPS8,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,RTN4,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,S100A12,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,S100A16,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,S100A6,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,SDHC,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,SERBP1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,SF3B6,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,SFN,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,SH3GLB1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,SNRPG,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,SUCLG1,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,TACSTD2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,TMEM59,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,TOMM20,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,TPM3,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,TXNIP,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,UQCRH,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,WASF2,1,no
HCA.human_normal.TissueStability,normal,Esophagus,Progenitor Cells,YBX1,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,AC016739.1,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,AIF1,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,ANXA1,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,ARPC2,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,BTF3,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,COX7C,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,CTSS,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,EEF1D,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,FCER1G,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,GPX1,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,HLA-E,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,HSP90AB1,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,HSPA1A,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,HSPB1,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,MIR1244-2,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,MTATP6P1,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,PABPC1,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,PSAP,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,RPL24,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,RPL7,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,RPS10,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,S100A4,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,S100A8,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,S100A9,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,SOD2,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,SRGN,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Granulocyte,UQCRB,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Nk Cell,CCL5,5,yes
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Nk Cell,EIF1,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Nk Cell,H3F3B,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Nk Cell,MALAT1,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Nk Cell,RPL26,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Nk Cell,RPL7,1,no
HCA.human_normal.TissueStability,normal,Lung,Immune Cells-Nk Cell,SRGN,1,no
