study,group,tissue,edge_attr
16.human_peripheralBlood:young-frail,disease,Peripheral Blood,"[('ISG15', 'CCL2', {'weight': 0.998320919178025, 'cell_n': 29}), ('ISG15', 'CCL5', {'weight': 0.795837561499579, 'cell_n': 101}), ('ISG15', 'ICAM1', {'weight': 0.831928013264055, 'cell_n': 123}), ('CDC42', 'CDKN1A', {'weight': 0.792178998489787, 'cell_n': 410}), ('CDC42', 'CCL2', {'weight': 0.907704198426371, 'cell_n': 40}), ('CDC42', 'CCL5', {'weight': 0.929619213101621, 'cell_n': 566}), ('CDC42', 'ICAM1', {'weight': 0.784499842584605, 'cell_n': 392}), ('RPL11', 'CDKN1A', {'weight': 0.731414536438028, 'cell_n': 1345}), ('RPL11', 'CCL2', {'weight': 0.794395772423833, 'cell_n': 119}), ('SRRM1', 'CCL5', {'weight': 0.915796236293116, 'cell_n': 185}), ('SRRM1', 'ICAM1', {'weight': 0.904538533653555, 'cell_n': 76}), ('SH3BGRL3', 'CCL2', {'weight': 0.856998207485775, 'cell_n': 119}), ('CD52', 'CCL5', {'weight': 0.749225959158334, 'cell_n': 4246}), ('HMGN2', 'CDKN1A', {'weight': 0.778347442990192, 'cell_n': 297}), ('HMGN2', 'CCL5', {'weight': 0.794632488349064, 'cell_n': 499}), ('HMGN2', 'ICAM1', {'weight': 0.878980248605068, 'cell_n': 255}), ('IFI6', 'CCL2', {'weight': 0.996650058828311, 'cell_n': 26}), ('IFI6', 'CCL5', {'weight': 0.794629131683112, 'cell_n': 76}), ('IFI6', 'ICAM1', {'weight': 0.886187877980326, 'cell_n': 101}), ('LAPTM5', 'CDKN1A', {'weight': 0.753886947730754, 'cell_n': 1030}), ('LAPTM5', 'CCL5', {'weight': 0.803334943615141, 'cell_n': 2377}), ('RNF19B', 'CDKN1A', {'weight': 0.861782032523054, 'cell_n': 64}), ('RNF19B', 'ICAM1', {'weight': 0.947543483589704, 'cell_n': 69}), ('SFPQ', 'CCL5', {'weight': 0.955405202816803, 'cell_n': 118}), ('SFPQ', 'ICAM1', {'weight': 0.846756348987481, 'cell_n': 111}), ('CSF3R', 'CCL2', {'weight': 1.0, 'cell_n': 20}), ('CSF3R', 'CCL5', {'weight': 0.963522281871881, 'cell_n': 82}), ('CSF3R', 'ICAM1', {'weight': 0.911222905200878, 'cell_n': 167}), ('ZC3H12A', 'CDKN1A', {'weight': 1.0, 'cell_n': 20}), ('ZC3H12A', 'CCL5', {'weight': 0.863303017678682, 'cell_n': 176}), ('ZC3H12A', 'ICAM1', {'weight': 0.986087056123792, 'cell_n': 25}), ('NDUFS5', 'CDKN1A', {'weight': 0.977668851470271, 'cell_n': 72}), ('NDUFS5', 'CCL5', {'weight': 0.889418457265922, 'cell_n': 133}), ('NDUFS5', 'ICAM1', {'weight': 0.874755085203208, 'cell_n': 63}), ('YBX1', 'CCL2', {'weight': 0.788446343113833, 'cell_n': 89}), ('YBX1', 'CCL5', {'weight': 0.765540721130269, 'cell_n': 1814}), ('UQCRH', 'CCL2', {'weight': 0.853658438328482, 'cell_n': 38}), ('UQCRH', 'CCL5', {'weight': 0.892779274762991, 'cell_n': 286}), ('UQCRH', 'ICAM1', {'weight': 0.765366822241648, 'cell_n': 392}), ('SERBP1', 'CCL5', {'weight': 0.96176517718856, 'cell_n': 80}), ('SERBP1', 'ICAM1', {'weight': 0.959899247277356, 'cell_n': 39}), ('GBP2', 'CCL2', {'weight': 1.0, 'cell_n': 11}), ('GBP2', 'CCL5', {'weight': 0.715349616162553, 'cell_n': 54}), ('GBP2', 'ICAM1', {'weight': 0.861357169634626, 'cell_n': 87}), ('F3', 'CCL2', {'weight': 1.0, 'cell_n': 20}), ('F3', 'CCL5', {'weight': 0.876139955080343, 'cell_n': 63}), ('F3', 'ICAM1', {'weight': 0.792127576641297, 'cell_n': 153}), ('S1PR1', 'CDKN1A', {'weight': 1.0, 'cell_n': 12}), ('CSDE1', 'CDKN1A', {'weight': 0.856864549809254, 'cell_n': 163}), ('CSDE1', 'CCL2', {'weight': 1.0, 'cell_n': 12}), ('CSDE1', 'CCL5', {'weight': 0.780050596351775, 'cell_n': 126}), ('CSDE1', 'ICAM1', {'weight': 0.833849845263578, 'cell_n': 132}), ('CD2', 'CCL5', {'weight': 0.950714644387389, 'cell_n': 40}), ('NBPF26', 'ICAM1', {'weight': 0.857033593427084, 'cell_n': 135}), ('TXNIP', 'CDKN1A', {'weight': 0.907943398138535, 'cell_n': 122}), ('TXNIP', 'ICAM1', {'weight': 0.996969858045458, 'cell_n': 50}), ('PDE4DIP', 'CDKN1A', {'weight': 0.860030910867156, 'cell_n': 75}), ('PDE4DIP', 'CCL2', {'weight': 1.0, 'cell_n': 15}), ('PDE4DIP', 'CCL5', {'weight': 0.971122571731662, 'cell_n': 35}), ('PDE4DIP', 'ICAM1', {'weight': 0.900273203927802, 'cell_n': 79}), ('PDE4DIP', 'PLAUR', {'weight': -0.772262443757788, 'cell_n': 162}), ('MCL1', 'CCL2', {'weight': 0.999861299488629, 'cell_n': 30}), ('MCL1', 'CCL5', {'weight': 0.902655142371273, 'cell_n': 195}), ('MCL1', 'ICAM1', {'weight': 0.804948649575248, 'cell_n': 336}), ('CTSS', 'PLAUR', {'weight': 0.77437072974363, 'cell_n': 2952}), ('S100A11', 'PLAUR', {'weight': 0.829852733384783, 'cell_n': 3236}), ('S100A12', 'CDKN1A', {'weight': 0.733890335649232, 'cell_n': 406}), ('S100A8', 'PLAUR', {'weight': 0.759612833090063, 'cell_n': 3418}), ('S100A6', 'PLAUR', {'weight': 0.790246772329361, 'cell_n': 3909}), ('S100A4', 'PLAUR', {'weight': 0.734261254490678, 'cell_n': 3854}), ('RPS27', 'PLAUR', {'weight': -0.838141824310609, 'cell_n': 3600}), ('TPM3', 'CDKN1A', {'weight': 0.781035103220745, 'cell_n': 582}), ('TPM3', 'CCL2', {'weight': 0.996626582898563, 'cell_n': 40}), ('TPM3', 'CCL5', {'weight': 0.909265792640008, 'cell_n': 1306}), ('TPM3', 'ICAM1', {'weight': 0.750247635447462, 'cell_n': 498}), ('SSR2', 'CDKN1A', {'weight': 0.909541705201711, 'cell_n': 159}), ('SSR2', 'CCL5', {'weight': 0.899287861148397, 'cell_n': 311}), ('SSR2', 'ICAM1', {'weight': 0.731993050008661, 'cell_n': 121}), ('LMNA', 'CDKN1A', {'weight': 0.885933401386145, 'cell_n': 105}), ('LMNA', 'CCL5', {'weight': 0.795565799237815, 'cell_n': 135}), ('LMNA', 'ICAM1', {'weight': 0.744608070860318, 'cell_n': 45}), ('LMNA', 'PLAUR', {'weight': 0.768681505385759, 'cell_n': 70}), ('TAGLN2', 'CDKN1A', {'weight': 0.829619752694483, 'cell_n': 872}), ('TAGLN2', 'CCL5', {'weight': 0.833551425496556, 'cell_n': 1550}), ('CD48', 'CDKN1A', {'weight': 0.726239009617653, 'cell_n': 354}), ('CD48', 'CCL2', {'weight': 0.713778098969778, 'cell_n': 34}), ('CD48', 'CCL5', {'weight': 0.888029385773774, 'cell_n': 437}), ('CD48', 'ICAM1', {'weight': 0.769186050881539, 'cell_n': 327}), ('FCER1G', 'PLAUR', {'weight': 0.82414088280146, 'cell_n': 3474}), ('FCGR3A', 'CCL5', {'weight': 0.836009221228264, 'cell_n': 525}), ('CD247', 'CDKN1A', {'weight': 1.0, 'cell_n': 20}), ('CD247', 'CCL5', {'weight': 0.727102015252774, 'cell_n': 1617}), ('CD247', 'ICAM1', {'weight': 0.983433415685025, 'cell_n': 24}), ('SELL', 'CCL5', {'weight': 0.826560632908507, 'cell_n': 98}), ('SELL', 'ICAM1', {'weight': 0.969494578118799, 'cell_n': 42}), ('SELL', 'PLAUR', {'weight': 0.956306710025605, 'cell_n': 84}), ('PRRC2C', 'CCL5', {'weight': 0.896452663127726, 'cell_n': 206}), ('PRRC2C', 'ICAM1', {'weight': 0.946615588544977, 'cell_n': 82}), ('NCF2', 'CDKN1A', {'weight': 0.847279429257795, 'cell_n': 105}), ('NCF2', 'CCL5', {'weight': 0.994568559046736, 'cell_n': 40}), ('NCF2', 'ICAM1', {'weight': 0.882878629620374, 'cell_n': 117}), ('ARPC5', 'CDKN1A', {'weight': 0.780259807289518, 'cell_n': 224}), ('ARPC5', 'CCL2', {'weight': 0.915362423855782, 'cell_n': 30}), ('ARPC5', 'CCL5', {'weight': 0.852848216373011, 'cell_n': 155}), ('ARPC5', 'ICAM1', {'weight': 0.800855771515308, 'cell_n': 242}), ('PTGS2', 'CCL2', {'weight': 0.835364315068386, 'cell_n': 66}), ('RGS1', 'CDKN1A', {'weight': 0.907173606212065, 'cell_n': 171}), ('RGS1', 'CCL5', {'weight': 0.840567404073523, 'cell_n': 276}), ('RGS1', 'ICAM1', {'weight': 0.762496822817805, 'cell_n': 135}), ('PTPRC', 'CDKN1A', {'weight': 0.897759549461159, 'cell_n': 223}), ('PTPRC', 'CCL2', {'weight': 1.0, 'cell_n': 14}), ('PTPRC', 'CCL5', {'weight': 0.903734772537307, 'cell_n': 1204}), ('PTPRC', 'ICAM1', {'weight': 0.915803632222133, 'cell_n': 202}), ('BTG2', 'CDKN1A', {'weight': 0.931772166736839, 'cell_n': 149}), ('BTG2', 'CCL5', {'weight': 0.787057317464233, 'cell_n': 976}), ('BTG2', 'ICAM1', {'weight': 0.96731919596853, 'cell_n': 87}), ('RASSF5', 'CDKN1A', {'weight': 0.941875062167719, 'cell_n': 54}), ('RASSF5', 'CCL5', {'weight': 0.766278928460805, 'cell_n': 37}), ('RASSF5', 'ICAM1', {'weight': 0.879342189256414, 'cell_n': 55}), ('FCMR', 'CCL5', {'weight': 1.0, 'cell_n': 19}), ('CD55', 'CCL5', {'weight': 0.749679548782968, 'cell_n': 43}), ('CD55', 'ICAM1', {'weight': 0.932705434521394, 'cell_n': 76}), ('CD55', 'PLAUR', {'weight': 0.776532594691047, 'cell_n': 183}), ('H3F3A', 'PLAUR', {'weight': 0.834191427059622, 'cell_n': 3809}), ('ARF1', 'CDKN1A', {'weight': 0.927225655184131, 'cell_n': 231}), ('ARF1', 'CCL2', {'weight': 0.736391195408776, 'cell_n': 23}), ('ARF1', 'CCL5', {'weight': 0.892465141395892, 'cell_n': 415}), ('ARF1', 'ICAM1', {'weight': 0.822922416065335, 'cell_n': 204}), ('TOMM20', 'CDKN1A', {'weight': 0.735179605703855, 'cell_n': 87}), ('TOMM20', 'CCL5', {'weight': 0.927458588315044, 'cell_n': 101}), ('TOMM20', 'ICAM1', {'weight': 0.91703522121778, 'cell_n': 61}), ('HNRNPU', 'CDKN1A', {'weight': 0.74398448572988, 'cell_n': 65}), ('HNRNPU', 'CCL5', {'weight': 0.938347411641785, 'cell_n': 100}), ('HNRNPU', 'ICAM1', {'weight': 0.902023301102344, 'cell_n': 62}), ('NLRP3', 'ICAM1', {'weight': 0.703395746649407, 'cell_n': 648}), ('ODC1', 'CDKN1A', {'weight': 0.999991191583608, 'cell_n': 21}), ('ODC1', 'CCL5', {'weight': 0.8243445685868, 'cell_n': 60}), ('OST4', 'CCL2', {'weight': 0.843124155455597, 'cell_n': 33}), ('OST4', 'CCL5', {'weight': 0.847173178976975, 'cell_n': 523}), ('OST4', 'ICAM1', {'weight': 0.805208332645655, 'cell_n': 334}), ('YPEL5', 'CDKN1A', {'weight': 0.911256083838449, 'cell_n': 94}), ('YPEL5', 'CCL5', {'weight': 0.866093446053245, 'cell_n': 545}), ('YPEL5', 'ICAM1', {'weight': 0.977673756257508, 'cell_n': 46}), ('SRSF7', 'CDKN1A', {'weight': 0.840211024953221, 'cell_n': 131}), ('SRSF7', 'CCL5', {'weight': 0.795584188804813, 'cell_n': 846}), ('SRSF7', 'ICAM1', {'weight': 0.884711641262244, 'cell_n': 82}), ('ZFP36L2', 'CDKN1A', {'weight': 0.919513052940651, 'cell_n': 469}), ('ZFP36L2', 'CCL2', {'weight': -1.0, 'cell_n': 19}), ('ZFP36L2', 'ICAM1', {'weight': 0.886625280000711, 'cell_n': 163}), ('CALM2', 'CCL2', {'weight': 1.0, 'cell_n': 15}), ('CALM2', 'CCL5', {'weight': 0.90447476719315, 'cell_n': 298}), ('CALM2', 'ICAM1', {'weight': 0.70210772193373, 'cell_n': 213}), ('RPS27A', 'CDKN1A', {'weight': 0.716537475064952, 'cell_n': 1344}), ('RPS27A', 'PLAUR', {'weight': -0.745927361816176, 'cell_n': 3818}), ('REL', 'CCL5', {'weight': 0.872822890248133, 'cell_n': 530}), ('REL', 'ICAM1', {'weight': 0.89891833114891, 'cell_n': 522}), ('PELI1', 'CDKN1A', {'weight': 0.714162835356432, 'cell_n': 204}), ('PELI1', 'ICAM1', {'weight': 0.897962243608658, 'cell_n': 273}), ('GNLY', 'CDKN1A', {'weight': 0.831091464842903, 'cell_n': 82}), ('GNLY', 'CCL2', {'weight': 1.0, 'cell_n': 11}), ('GNLY', 'CCL5', {'weight': 0.800532861500343, 'cell_n': 7330}), ('GNLY', 'ICAM1', {'weight': 0.923639299764853, 'cell_n': 86}), ('CD8A', 'CDKN1A', {'weight': 0.987121753146005, 'cell_n': 23}), ('CD8A', 'CCL5', {'weight': 0.714630356168998, 'cell_n': 1301}), ('CD8A', 'ICAM1', {'weight': 1.0, 'cell_n': 14}), ('CD8A', 'PLAUR', {'weight': 0.727035444517715, 'cell_n': 41}), ('IGKV3-20', 'CDKN1A', {'weight': 1.0, 'cell_n': 12}), ('DUSP2', 'CDKN1A', {'weight': 0.789157789522254, 'cell_n': 884}), ('DUSP2', 'ICAM1', {'weight': 0.77958121628983, 'cell_n': 725}), ('MGAT4A', 'CCL5', {'weight': 0.809547941629649, 'cell_n': 65}), ('RPL31', 'CCL5', {'weight': 0.71393921747736, 'cell_n': 4177})]"
16.human_peripheralBlood:young-healthyOld,normal,Peripheral Blood,"[('ENO1', 'CDKN1A', {'weight': 0.743599236198651, 'cell_n': 366}), ('ENO1', 'CCL2', {'weight': 0.951743880278882, 'cell_n': 124}), ('ENO1', 'PLAUR', {'weight': 0.791942775271998, 'cell_n': 518}), ('TNFRSF1B', 'CDKN1A', {'weight': 0.914064489695507, 'cell_n': 288}), ('TNFRSF1B', 'CCL2', {'weight': 0.728488277499547, 'cell_n': 80}), ('TNFRSF1B', 'PLAUR', {'weight': 0.769845852229359, 'cell_n': 461}), ('CD52', 'CDKN1A', {'weight': 0.718785142649321, 'cell_n': 864}), ('CD52', 'PLAUR', {'weight': 0.732950163768046, 'cell_n': 1243}), ('PTP4A2', 'CDKN1A', {'weight': 0.805942726123737, 'cell_n': 145}), ('PTP4A2', 'PLAUR', {'weight': 0.8314282729455, 'cell_n': 203}), ('RNF19B', 'CDKN1A', {'weight': 0.978048143143486, 'cell_n': 48}), ('RNF19B', 'CCL2', {'weight': 1.0, 'cell_n': 11}), ('RNF19B', 'PLAUR', {'weight': 0.961015876124857, 'cell_n': 102}), ('SFPQ', 'CDKN1A', {'weight': 0.794795853453144, 'cell_n': 203}), ('CSF3R', 'CDKN1A', {'weight': 0.914577964560856, 'cell_n': 81}), ('CSF3R', 'CCL2', {'weight': 1.0, 'cell_n': 19}), ('CSF3R', 'PLAUR', {'weight': 0.876941731402593, 'cell_n': 170}), ('YBX1', 'CCL2', {'weight': 0.747531874947759, 'cell_n': 323}), ('ATP6V0B', 'CDKN1A', {'weight': 0.832142073682025, 'cell_n': 249}), ('ATP6V0B', 'CCL2', {'weight': 0.932031807626812, 'cell_n': 76}), ('ATP6V0B', 'PLAUR', {'weight': 0.880409814607951, 'cell_n': 384}), ('JUN', 'CDKN1A', {'weight': 0.792997746298168, 'cell_n': 853}), ('JAK1', 'CDKN1A', {'weight': 0.824862307607352, 'cell_n': 104}), ('JAK1', 'CCL2', {'weight': 1.0, 'cell_n': 20}), ('JAK1', 'PLAUR', {'weight': 0.739328001523485, 'cell_n': 132}), ('SRSF11', 'CDKN1A', {'weight': 0.9948195489628, 'cell_n': 24}), ('SRSF11', 'PLAUR', {'weight': 0.85310688627206, 'cell_n': 35}), ('GNG5', 'CDKN1A', {'weight': 0.8177981198064, 'cell_n': 459}), ('GNG5', 'CCL2', {'weight': 0.852606479856559, 'cell_n': 159}), ('GNG5', 'PLAUR', {'weight': 0.885245915240616, 'cell_n': 756}), ('NBPF26', 'CDKN1A', {'weight': 0.853717419865724, 'cell_n': 169}), ('NBPF26', 'CCL2', {'weight': 1.0, 'cell_n': 12}), ('NBPF26', 'PLAUR', {'weight': 0.795242530647292, 'cell_n': 215}), ('TXNIP', 'CDKN1A', {'weight': 0.781506506925865, 'cell_n': 435}), ('MCL1', 'CDKN1A', {'weight': 0.854998935431485, 'cell_n': 422}), ('MCL1', 'PLAUR', {'weight': 0.856481188810084, 'cell_n': 646}), ('CTSS', 'CDKN1A', {'weight': 0.725410693705571, 'cell_n': 905}), ('CTSS', 'CCL2', {'weight': 0.719117762711882, 'cell_n': 326}), ('S100A11', 'CDKN1A', {'weight': 0.778783665947742, 'cell_n': 999}), ('S100A11', 'CCL2', {'weight': 0.844389744021521, 'cell_n': 545}), ('S100A11', 'PLAUR', {'weight': 0.743185853458457, 'cell_n': 2176}), ('S100A12', 'CDKN1A', {'weight': 0.832919719888226, 'cell_n': 322}), ('S100A12', 'CCL2', {'weight': 0.791974210400412, 'cell_n': 236}), ('S100A12', 'PLAUR', {'weight': 0.816032959363413, 'cell_n': 930}), ('S100A6', 'CCL2', {'weight': 0.744392453053277, 'cell_n': 595}), ('TPM3', 'CDKN1A', {'weight': 0.741221666108781, 'cell_n': 834}), ('TPM3', 'CCL2', {'weight': 0.795900892649281, 'cell_n': 293}), ('LMNA', 'CDKN1A', {'weight': 0.871874811768383, 'cell_n': 241}), ('LMNA', 'CCL2', {'weight': 0.729184928404314, 'cell_n': 47}), ('LMNA', 'PLAUR', {'weight': 0.858333425793796, 'cell_n': 209}), ('FCGR3A', 'CDKN1A', {'weight': 0.79529273876162, 'cell_n': 110}), ('CD247', 'CDKN1A', {'weight': 1.0, 'cell_n': 14}), ('CD247', 'PLAUR', {'weight': -1.0, 'cell_n': 15}), ('PRRC2C', 'CDKN1A', {'weight': 0.802554700041589, 'cell_n': 183}), ('PRRC2C', 'CCL2', {'weight': 1.0, 'cell_n': 19}), ('PRRC2C', 'PLAUR', {'weight': 0.794010172632665, 'cell_n': 182}), ('NCF2', 'CDKN1A', {'weight': 0.93681370840094, 'cell_n': 95}), ('NCF2', 'PLAUR', {'weight': 0.809469659374134, 'cell_n': 181}), ('RGS1', 'CDKN1A', {'weight': 0.900162428555534, 'cell_n': 136}), ('RGS1', 'PLAUR', {'weight': 0.82688089346998, 'cell_n': 124}), ('PTPRC', 'CDKN1A', {'weight': 0.841208924746142, 'cell_n': 389}), ('PTPRC', 'CCL2', {'weight': 0.98018942196074, 'cell_n': 37}), ('BTG2', 'CDKN1A', {'weight': 0.934694970174438, 'cell_n': 229}), ('BTG2', 'CCL2', {'weight': 0.781440132423462, 'cell_n': 45}), ('BTG2', 'PLAUR', {'weight': 0.735121955949569, 'cell_n': 231}), ('CD55', 'CDKN1A', {'weight': 0.942962292373126, 'cell_n': 137}), ('CD55', 'PLAUR', {'weight': 0.895061085206994, 'cell_n': 160}), ('ARF1', 'CDKN1A', {'weight': 0.939425498925562, 'cell_n': 229}), ('ARF1', 'CCL2', {'weight': 0.888663916239167, 'cell_n': 46}), ('ARF1', 'PLAUR', {'weight': 0.894307833343654, 'cell_n': 312}), ('HNRNPU', 'CDKN1A', {'weight': 0.867355868606801, 'cell_n': 149}), ('HNRNPU', 'CCL2', {'weight': 0.991023624391847, 'cell_n': 30}), ('HNRNPU', 'PLAUR', {'weight': 0.88152149935752, 'cell_n': 196}), ('NLRP3', 'CDKN1A', {'weight': 0.834806032533358, 'cell_n': 294}), ('NLRP3', 'CCL2', {'weight': 0.825887544510388, 'cell_n': 42}), ('ID2', 'CCL2', {'weight': 0.898198594295784, 'cell_n': 87}), ('CDC42EP3', 'CDKN1A', {'weight': 0.877332285904561, 'cell_n': 99}), ('CDC42EP3', 'CCL2', {'weight': 1.0, 'cell_n': 19}), ('CDC42EP3', 'PLAUR', {'weight': 0.841054125347766, 'cell_n': 175}), ('SRSF7', 'CDKN1A', {'weight': 0.920049384965571, 'cell_n': 140}), ('SRSF7', 'CCL2', {'weight': -1.0, 'cell_n': 12}), ('SRSF7', 'PLAUR', {'weight': 0.969978720637405, 'cell_n': 119}), ('EML4', 'PLAUR', {'weight': 0.943473591672658, 'cell_n': 29}), ('ZFP36L2', 'CDKN1A', {'weight': 0.891076463050474, 'cell_n': 679}), ('REL', 'CDKN1A', {'weight': 0.823819945035185, 'cell_n': 347}), ('REL', 'CCL2', {'weight': 0.863299491640333, 'cell_n': 32}), ('REL', 'PLAUR', {'weight': 0.810779870827631, 'cell_n': 501}), ('PLEK', 'IL1B', {'weight': 0.710297686885668, 'cell_n': 2278}), ('PLEK', 'PLAUR', {'weight': 0.724453350601942, 'cell_n': 1657}), ('PCBP1', 'CDKN1A', {'weight': 0.769623515094738, 'cell_n': 141}), ('PCBP1', 'CCL2', {'weight': 0.905790620892053, 'cell_n': 33}), ('VAMP8', 'PLAUR', {'weight': 0.752566540123695, 'cell_n': 104}), ('GNLY', 'CDKN1A', {'weight': 0.900419655879316, 'cell_n': 104}), ('CD8A', 'IL1B', {'weight': -0.720672318094276, 'cell_n': 59}), ('CD8A', 'CDKN1A', {'weight': 0.970522637681245, 'cell_n': 40}), ('CD8A', 'CCL2', {'weight': 1.0, 'cell_n': 11}), ('CD8A', 'PLAUR', {'weight': 0.928757885688474, 'cell_n': 52}), ('CD8B', 'CDKN1A', {'weight': 1.0, 'cell_n': 12}), ('CD8B', 'PLAUR', {'weight': 0.815342671425523, 'cell_n': 31}), ('DUSP2', 'CDKN1A', {'weight': 0.844113855727721, 'cell_n': 628}), ('DUSP2', 'CCL2', {'weight': 0.797555461096, 'cell_n': 87}), ('COX5B', 'CDKN1A', {'weight': 0.768914470138279, 'cell_n': 267}), ('COX5B', 'CCL2', {'weight': 0.71106325276265, 'cell_n': 51}), ('COX5B', 'PLAUR', {'weight': 0.74223735780014, 'cell_n': 401}), ('RPL31', 'CDKN1A', {'weight': 0.710957883436751, 'cell_n': 1190}), ('IL1B', 'EML4', {'weight': -0.969990372012592, 'cell_n': 26}), ('IL1B', 'PLEK', {'weight': 0.73165159139066, 'cell_n': 2278}), ('IL1B', 'PCBP1', {'weight': 0.712112360508706, 'cell_n': 267}), ('IL1B', 'SPON2', {'weight': -1.0, 'cell_n': 17}), ('IL1B', 'CXCL8', {'weight': 0.864525696355822, 'cell_n': 2849}), ('IL1B', 'CCDC109B', {'weight': -1.0, 'cell_n': 15}), ('IL1B', 'GZMK', {'weight': -1.0, 'cell_n': 13}), ('IL1B', 'TCF7', {'weight': -1.0, 'cell_n': 11}), ('IL1B', 'CUTA', {'weight': 1.0, 'cell_n': 19}), ('IL1B', 'PNRC1', {'weight': 0.825973911558694, 'cell_n': 3425}), ('IL1B', 'SOD2', {'weight': 0.94240576316187, 'cell_n': 3256}), ('IL1B', 'MYO1G', {'weight': 0.788730753571426, 'cell_n': 184}), ('IL1B', 'IKZF1', {'weight': 0.961747041691822, 'cell_n': 22}), ('IL1B', 'TRBV5-1', {'weight': 1.0, 'cell_n': 18}), ('IL1B', 'EIF2S3', {'weight': 0.883391423712768, 'cell_n': 44}), ('IL1B', 'LEPROTL1', {'weight': -0.848691750692574, 'cell_n': 59}), ('IL1B', 'NINJ1', {'weight': 0.73190776295731, 'cell_n': 1409}), ('IL1B', 'ATP6V1G1', {'weight': 0.723348694977039, 'cell_n': 272}), ('IL1B', 'HSPA5', {'weight': 0.707918302651599, 'cell_n': 1367}), ('IL1B', 'PTGDS', {'weight': -0.908643607372165, 'cell_n': 33}), ('IL1B', 'TMEM258', {'weight': 0.706055405289431, 'cell_n': 121}), ('IL1B', 'FTH1', {'weight': 0.819852848832707, 'cell_n': 4084}), ('IL1B', 'RARRES3', {'weight': -1.0, 'cell_n': 17}), ('IL1B', 'CARD16', {'weight': 0.878367351780515, 'cell_n': 434}), ('IL1B', 'SRGN', {'weight': 0.710192832231286, 'cell_n': 3736}), ('IL1B', 'PRF1', {'weight': -1.0, 'cell_n': 12}), ('IL1B', 'SPOCK2', {'weight': -0.88826173720222, 'cell_n': 26}), ('IL1B', 'NFKB2', {'weight': 0.705963411677239, 'cell_n': 127}), ('IL1B', 'KLRB1', {'weight': -0.96682442667586, 'cell_n': 37}), ('IL1B', 'RP11-291B21.2', {'weight': -1.0, 'cell_n': 16}), ('IL1B', 'LINC00936', {'weight': 0.782620699751362, 'cell_n': 2431}), ('IL1B', 'RSRC2', {'weight': -1.0, 'cell_n': 20}), ('IL1B', 'SAP18', {'weight': 0.705819845017566, 'cell_n': 86}), ('IL1B', 'GTF3A', {'weight': -1.0, 'cell_n': 14}), ('IL1B', 'GZMB', {'weight': -0.766554141792357, 'cell_n': 67}), ('IL1B', 'BAZ1A', {'weight': 0.860513657742027, 'cell_n': 36}), ('IL1B', 'FAM177A1', {'weight': -1.0, 'cell_n': 15}), ('IL1B', 'BCL2A1', {'weight': 0.901564236776193, 'cell_n': 2356}), ('IL1B', 'UBE2I', {'weight': 0.765032013819433, 'cell_n': 32}), ('IL1B', 'CCL3', {'weight': 0.951928008313974, 'cell_n': 3489}), ('IL1B', 'CCL4', {'weight': 0.935968041393774, 'cell_n': 3144}), ('IL1B', 'CCL3L3', {'weight': 0.898599650108659, 'cell_n': 3213}), ('IL1B', 'CCL4L2', {'weight': 0.722587830989393, 'cell_n': 2675}), ('IL1B', 'CCR7', {'weight': 0.815799915190084, 'cell_n': 38}), ('IL1B', 'FBL', {'weight': 1.0, 'cell_n': 18}), ('IL1B', 'MIR155HG', {'weight': 0.713139059369291, 'cell_n': 402}), ('CXCR4', 'CDKN1A', {'weight': 0.885441767743877, 'cell_n': 498}), ('CXCR4', 'CCL2', {'weight': 0.807497000353064, 'cell_n': 53}), ('ZEB2', 'CDKN1A', {'weight': 0.861964507047942, 'cell_n': 473}), ('ZEB2', 'CCL2', {'weight': 0.777745259435384, 'cell_n': 253}), ('ZEB2', 'PLAUR', {'weight': 0.790811554637673, 'cell_n': 959}), ('WIPF1', 'CDKN1A', {'weight': 0.879628029374488, 'cell_n': 26}), ('WIPF1', 'PLAUR', {'weight': 0.946028831293364, 'cell_n': 31}), ('HNRNPA3', 'CDKN1A', {'weight': 0.918184639130258, 'cell_n': 162}), ('HNRNPA3', 'CCL2', {'weight': 0.95274752571035, 'cell_n': 32}), ('HNRNPA3', 'PLAUR', {'weight': 0.943409035426205, 'cell_n': 214}), ('NFE2L2', 'CDKN1A', {'weight': 0.91905182387948, 'cell_n': 83}), ('NFE2L2', 'PLAUR', {'weight': 0.805154005252198, 'cell_n': 131}), ('NCL', 'CDKN1A', {'weight': 0.929273770516254, 'cell_n': 200})]"
